ApplicationDate;requested_amount;has_co_adress;CivilStatus;NrOfChildren;age;Has_Co_Appl_Flag;UC_Req_L3M;UC_Req_L6M;UC_Req_L12M;Bureau_Score;Blanco_loan_debt;NumberOfLoans;Has_Mortgage;default_flag;income_year1;income_year2;refinance_flag;has_repayment_loan;has_creditcard_loan;gender;broker_id;NrOfCars
52019;30000;0;Married;1;33;0;7;16;19;7.7;337110;8;1;0;$274,100.00;$142,300.00;0;1;1;M;10;4
52019;50000;0;Single;0;29;0;6;8;12;6.9;244400;6;0;0;$231,600.00;$82,100.00;0;1;1;M;14;4
52019;100000;0;Cohabiting;1;40;0;2;3;5;6.2;605395;19;0;0;$248,900.00;$255,800.00;1;1;1;F;14;5
52019;150000;1;Cohabiting;1;37;0;8;12;22;11.7;132021;5;0;0;$278,000.00;$34,400.00;1;0;1;F;14;1
52019;70000;0;Single;0;61;0;1;2;3;3.8;379851;10;0;0;$283,000.00;$264,800.00;1;0;1;M;10;3
52019;170000;0;Cohabiting;1;29;0;1;2;5;4.5;757197;3;0;0;$357,600.00;$394,100.00;1;0;1;M;10;10
52019;40000;0;Cohabiting;1;26;0;4;6;9;3.2;148847;7;1;0;$234,400.00;$210,400.00;1;0;1;F;10;4
52019;50000;0;Cohabiting;0;21;0;1;4;9;16.8;0;4;0;0;;$210,300.00;0;1;1;M;10;2
52019;210000;0;Single;0;57;0;5;10;13;10.2;187843;4;0;0;$277,400.00;$265,300.00;0;0;0;F;10;1
52019;250000;0;Single;0;30;0;1;2;5;3.5;170903;3;0;0;$153,900.00;$105,800.00;1;1;0;M;13;2
52019;300000;0;Single;0;59;0;20;24;32;17.9;303664;9;1;0;$150,000.00;$0.00;1;0;1;F;16;3
52019;50000;0;Single;0;58;0;3;6;9;4.8;431342;18;0;0;$248,000.00;$247,800.00;1;1;1;M;8;0
52019;10000;0;Married;1;47;0;16;22;44;16.6;548938;8;0;0;$304,200.00;$234,300.00;0;1;1;F;10;5
52019;180000;0;Married;1;47;0;6;16;40;14.4;387135;9;0;0;$314,700.00;$326,100.00;0;0;1;F;10;4
52019;120000;0;Married;0;49;0;9;18;45;5.7;56154;5;0;0;$513,100.00;$553,500.00;0;1;1;M;3;8
52019;110000;0;Cohabiting;0;50;0;2;2;6;7.2;510826;9;1;0;$393,400.00;$397,800.00;0;0;1;M;1;6
52019;40000;0;Cohabiting;0;52;0;2;6;11;7.9;277202;11;1;0;$188,800.00;$219,200.00;0;0;1;F;10;2
52019;20000;0;Married;0;59;0;1;2;6;5;441550;24;1;0;$159,800.00;$162,400.00;0;1;1;F;1;4
52019;30000;0;Married;1;42;0;10;18;32;17.5;307549;6;0;0;$263,300.00;$330,300.00;0;0;1;F;10;5
52019;100000;0;Cohabiting;2;39;0;2;3;11;12.3;93312;8;0;1;$233,100.00;$293,400.00;1;0;1;M;8;1
52019;80000;0;Married;2;36;0;2;3;8;3.8;470354;3;0;0;$389,200.00;$444,500.00;1;0;0;M;6;0
52019;250000;0;Single;0;30;0;10;16;22;4.3;552291;6;0;0;$250,500.00;$230,300.00;1;0;0;M;8;2
52019;400000;0;Married;4;44;0;6;6;17;3.2;402921;6;0;0;$394,400.00;$88,200.00;1;0;1;M;11;3
52019;200000;0;Married;2;40;0;1;4;6;3;503544;6;0;0;$262,000.00;$241,300.00;0;0;0;F;8;3
52019;150000;0;Cohabiting;2;39;0;2;5;7;2.4;283605;4;0;0;$268,400.00;$109,400.00;1;0;1;M;14;1
52019;200000;0;Married;2;38;0;2;3;12;12.3;426092;14;0;0;$318,000.00;$320,300.00;1;1;1;M;10;1
52019;300000;0;Single;0;38;0;4;4;20;1.1;0;0;0;1;$294,000.00;$279,900.00;0;0;0;M;6;4
